next_O3,next_PM2.5,next_PM10,next_CO,next_SO2,next_NO2
25.9,24,37,0.5,3.4,11.8
25.5,22.6,34.7,0.5,3.5,11.2
25.6,22.1,34.5,0.5,3.8,9.7
26.8,21.1,33.8,0.5,4,10.7
29.2,20,32.1,0.5,1.6,7.3
29.3,19.5,31.2,0.5,1.4,7.2
31.5,18.7,29.6,0.5,1.5,7.4
36.1,17.8,28.5,0.5,1.5,6.2
36,17.5,28.7,0.5,1.9,7.2
33.9,17.5,29.6,0.5,2.5,11.4
27.9,18.8,31.1,0.5,2.4,17.5
24.7,19.3,31.5,0.5,2,19.6
27.9,19.6,32,0.5,2,16.9
32.1,19.3,31.8,0.5,2,16
40.2,19,31.5,0.5,2,12.8
45,18.2,31,0.5,2,12
49.9,17.8,29.6,0.6,2,10.8
32.4,18.3,30,0.6,2,10.9
32.4,17.6,30.5,0.5,2,10.9
41.4,18.6,30.3,0.5,2,9.8
43.2,19.4,32.6,0.5,2,13.1
40.5,19.6,33.2,0.5,2,15.8
41.5,20.9,33.2,0.5,1.1,15.3
37,21.8,35,0.4,2,15.5
31.6,21.8,34.6,0.4,2.8,20
29.4,21.8,34.6,0.5,3.1,19.6
31.1,22.7,35.5,0.5,2.9,18.3
31.4,23.3,35.3,0.5,2,16.8
29.7,24.3,35.4,0.5,2.8,17.7
32.6,25.7,35.7,0.5,3,14.9
30.6,26.8,35.6,0.5,3,16.2
34.7,26.8,36.9,0.5,2.9,14.3
37.7,27.4,38.3,0.5,2.5,13.3
36.9,28,40,0.5,2.9,15.4
25.6,29.3,42.6,0.5,3.6,27.9
24.1,31.3,45.5,0.5,3.8,33.8
37.2,33.4,48,0.6,2.3,23.1
46.2,34.8,49.7,0.6,2,15.7
52.4,34.7,48.9,0.6,2,13.8
63.2,33.2,47.5,0.6,2,13.4
64.6,32.2,44.8,0.6,2,12.7
60.4,31.4,44.5,0.6,2,13.8
58.7,31.2,46.1,0.6,2,13.9
54.7,31.5,47.1,0.6,2,16.6
33.7,32.1,48.2,0.5,2.9,31.6
12.9,32.5,49.2,0.5,3.4,48
8,34.8,52.2,0.6,3.9,47.5
3.7,38.2,56.2,0.7,4.4,50
5.1,40.7,59.3,0.8,3.2,43.7
8.7,42.3,61.5,0.9,3.1,36.7
20.6,42.9,61.9,1,2.7,22.7
23.4,42.1,61,1,5.3,18
18,42.7,60.8,1,1.8,17.6
13.5,41.8,58.6,1,1.8,18.7
11.2,40.8,56.7,0.9,1.6,18.3
21,39.6,55.2,0.8,1.5,13
16.4,36.7,52.8,0.6,1.4,14.4
3.9,35.8,51.6,0.6,1.6,24.9
3.2,33.4,49.6,0.5,2.7,25.2
6.3,31.8,47.1,0.5,2.9,10.9
18.2,30.4,46.3,0.6,2,26.4
18.2,31.6,50.6,0.6,4.4,32.1
24.7,33.7,55.5,0.6,4.1,35.3
41.9,35.3,59.2,0.7,3.5,25.9
57.5,38.1,64.7,0.8,3.1,17.5
65.2,39.2,65.9,0.8,2.7,11.9
62.2,39.4,64.9,0.8,2.6,15.4
53.3,40.8,64.8,0.8,2.3,15.4
45.3,40.8,64.6,0.7,2.5,21.7
22.2,41.1,65.5,0.7,2.8,39.9
6.6,43.7,69.6,0.8,3.5,52
2.6,46.3,74.2,0.9,4.7,48.5
1.9,49.9,78.1,1.2,5.3,48.3
0,53.7,81.3,1.3,4.9,41.2
1.7,55.7,82.8,1.4,4.7,38
1.1,56.5,83,1.6,3.3,35.7
2.4,56,80.7,1.7,1.5,30.8
4.2,53.4,74.9,1.7,1,22.8
11.3,49.5,68.5,1.6,0.5,14.9
18.6,44.4,61.1,1.4,0.5,11.7
17.5,39.7,52.9,1.2,0.5,12.9
15.5,36.2,47.2,1,0.5,16.9
12.3,33.6,42.5,0.9,0.5,20.7
20.7,32.7,39.7,0.7,0.5,19.6
32.6,30.8,37.8,0.6,1,22.4
54.8,28.8,36.3,0.6,1.2,22.1
56.3,27.6,35.6,0.6,0.5,6.8
59.8,24.2,32.4,0.6,0.5,6.9
64.2,21.1,30,0.6,0.5,7.2
64.2,18.5,28.5,0.6,0.5,7.5
70,16.8,27,0.6,0.5,12.2
70.8,18.4,29.5,0.6,1.5,14
63.4,21.1,32.5,0.6,1.5,14.4
59.7,24.8,36.9,0.5,1.6,22.3
43.1,29.7,42.6,0.5,3.6,30.8
21.1,33.3,48.7,0.6,3.7,43.3
8,37.2,54,0.6,5.9,48.8
7.4,40.3,57.4,0.7,4.2,41.6
20.3,42.1,60.3,0.8,1.5,16.1
22.5,43.9,62.2,0.8,3.2,16.6
27.1,47.9,65.2,0.8,1.7,12.2
27.3,48,64.5,0.8,1.5,10
33.7,44.7,59.2,0.7,1,7.3
38.1,39.9,52.4,0.7,0.5,5.3
34.8,33.5,44.8,0.6,0.5,6.2
29.2,29.2,39.8,0.5,0.5,7.8
29.3,26.9,37.8,0.5,0.5,9.4
30.8,27,37.6,0.5,0.5,10.1
29,25.2,35.8,0.5,0.5,12.1
29.6,24.2,33.2,0.5,1,11.9
33.2,23.5,30,0.5,1,11.2
36.6,22.2,28.5,0.5,0.5,7.7
36.9,20.5,26.8,0.5,0.5,7.1
36.4,18.5,25.4,0.5,0.5,10.9
41.2,16.2,25.2,0.5,0.5,7
39.7,14,22.8,0.5,0.5,7.9
37.3,12.5,21.8,0.5,1,9
33.9,12.2,23.2,0.4,0.5,10.7
35.6,13.8,24.8,0.4,0.5,8.3
38,15.2,27,0.4,0.5,7.5
41.6,17,30.5,0.4,0.5,6.3
39.7,17.8,33.7,0.4,0.5,7.2
38.8,17.5,36.1,0.3,0.5,7.3
37.8,17.6,36.4,0.3,1.3,6.9
38.4,19.1,35.8,0.3,1.2,6
39.9,18.8,33,0.3,1.4,4.5
36.7,17.4,29.5,0.3,1.3,5
36.9,16.5,28.3,0.3,1.5,5
35.8,14.2,26.5,0.3,1.5,4.8
36.2,13.1,24.7,0.3,1.3,5.2
36.9,12.1,23.4,0.3,1.1,4.4
35.4,11.1,22.1,0.3,1.2,5.3
37.9,10.8,20.2,0.3,1.4,5
43.4,10.8,19,0.3,1.3,5
41.2,10.5,18.2,0.3,1.6,6.7
41.2,10,17,0.3,1.3,6.8
39.6,8.7,17.7,0.3,1.3,6.7
40.7,8.3,17.2,0.3,1.2,6.9
40.4,8.1,16.6,0.3,1.2,7.4
36.9,7.5,14.5,0.3,1.2,9.3
33.9,7,13.1,0.3,1.4,11
35.8,7.1,13.4,0.3,1.3,9.6
33.1,7.5,13.8,0.3,1.5,10.3
33.8,8.2,16.2,0.3,1.5,10.4
37.5,8.8,18.8,0.3,1.5,8
41.4,8.9,20.9,0.3,1.2,5.7
43.2,8.6,21,0.3,1.2,5.2
43.9,7.9,19.6,0.3,1.1,3.7
42.6,7,17.9,0.3,1.2,3.3
43.2,6,15.7,0.2,1.1,2.8
43.6,5.5,13.8,0.2,1.2,2.5
43.3,5.5,12.8,0.2,1.3,2.2
41.9,5.5,11,0.2,1.3,2.1
41.4,5.1,9.8,0.2,1.2,3.1
41,4.4,9.3,0.2,1.2,2.5
37,3.5,8.5,0.2,1.2,3.9
